DATE,MEHOINUSAKA672N
1984-01-01,81970
1985-01-01,85210
1986-01-01,75580
1987-01-01,77480
1988-01-01,74430
1989-01-01,77550
1990-01-01,80710
1991-01-01,80490
1992-01-01,80790
1993-01-01,80970
1994-01-01,83740
1995-01-01,86470
1996-01-01,92720
1997-01-01,82540
1998-01-01,86010
1999-01-01,85430
2000-01-01,84920
2001-01-01,90140
2002-01-01,81910
2003-01-01,78810
2004-01-01,81670
2005-01-01,80570
2006-01-01,79030
2007-01-01,86040
2008-01-01,84310
2009-01-01,81490
2010-01-01,75490
2011-01-01,72690
2012-01-01,79030
2013-01-01,88910
2014-01-01,81800
2015-01-01,90920
2016-01-01,90860
2017-01-01,91960
2018-01-01,79450
2019-01-01,89290
2020-01-01,84260
2021-01-01,87490
2022-01-01,89740
