DATE,MEHOINUSDEA672N
1984-01-01,65410
1985-01-01,56300
1986-01-01,61770
1987-01-01,68180
1988-01-01,68580
1989-01-01,69070
1990-01-01,63270
1991-01-01,64580
1992-01-01,68960
1993-01-01,68020
1994-01-01,66210
1995-01-01,62980
1996-01-01,69050
1997-01-01,74010
1998-01-01,70340
1999-01-01,77510
2000-01-01,80930
2001-01-01,77950
2002-01-01,77060
2003-01-01,74530
2004-01-01,71270
2005-01-01,73860
2006-01-01,73460
2007-01-01,74560
2008-01-01,66800
2009-01-01,68940
2010-01-01,72050
2011-01-01,69180
2012-01-01,60810
2013-01-01,66360
2014-01-01,69580
2015-01-01,69910
2016-01-01,69650
2017-01-01,76600
2018-01-01,75140
2019-01-01,84510
2020-01-01,78930
2021-01-01,74070
2022-01-01,80750
