DATE,MEHOINUSFLA672N
1984-01-01,50120
1985-01-01,52290
1986-01-01,55070
1987-01-01,57100
1988-01-01,57120
1989-01-01,56180
1990-01-01,54810
1991-01-01,54010
1992-01-01,52860
1993-01-01,53850
1994-01-01,54070
1995-01-01,53630
1996-01-01,53830
1997-01-01,55820
1998-01-01,59230
1999-01-01,59560
2000-01-01,62440
2001-01-01,57230
2002-01-01,59020
2003-01-01,59250
2004-01-01,60120
2005-01-01,61970
2006-01-01,63990
2007-01-01,62550
2008-01-01,59100
2009-01-01,60360
2010-01-01,57500
2011-01-01,57090
2012-01-01,57210
2013-01-01,59540
2014-01-01,55810
2015-01-01,59100
2016-01-01,61400
2017-01-01,62600
2018-01-01,63160
2019-01-01,66480
2020-01-01,65110
2021-01-01,64410
2022-01-01,65370
