DATE,MEHOINUSHIA672N
1984-01-01,73150
1985-01-01,70950
1986-01-01,69910
1987-01-01,81650
1988-01-01,74250
1989-01-01,75460
1990-01-01,79940
1991-01-01,73820
1992-01-01,81400
1993-01-01,80460
1994-01-01,77990
1995-01-01,77260
1996-01-01,73380
1997-01-01,70400
1998-01-01,69270
1999-01-01,73980
2000-01-01,82830
2001-01-01,74550
2002-01-01,73420
2003-01-01,78810
2004-01-01,83420
2005-01-01,85890
2006-01-01,84710
2007-01-01,87440
2008-01-01,81060
2009-01-01,73620
2010-01-01,77700
2011-01-01,74730
2012-01-01,69860
2013-01-01,78800
2014-01-01,86150
2015-01-01,78090
2016-01-01,86550
2017-01-01,86780
2018-01-01,92590
2019-01-01,100200
2020-01-01,91110
2021-01-01,88630
2022-01-01,91010
