DATE,MEHOINUSIDA672N
1984-01-01,53430
1985-01-01,50860
1986-01-01,50010
1987-01-01,48390
1988-01-01,52720
1989-01-01,53100
1990-01-01,51970
1991-01-01,51760
1992-01-01,53550
1993-01-01,58490
1994-01-01,58210
1995-01-01,58920
1996-01-01,60970
1997-01-01,57450
1998-01-01,62230
1999-01-01,59510
2000-01-01,60440
2001-01-01,60090
2002-01-01,58540
2003-01-01,64420
2004-01-01,65790
2005-01-01,63680
2006-01-01,64740
2007-01-01,67180
2008-01-01,62480
2009-01-01,61880
2010-01-01,61400
2011-01-01,60070
2012-01-01,59500
2013-01-01,59460
2014-01-01,64640
2015-01-01,62490
2016-01-01,67870
2017-01-01,70160
2018-01-01,67880
2019-01-01,75160
2020-01-01,75220
2021-01-01,82940
2022-01-01,72580
