DATE,MEHOINUSINA672N
1984-01-01,57680
1985-01-01,55550
1986-01-01,54780
1987-01-01,52500
1988-01-01,59110
1989-01-01,55780
1990-01-01,55310
1991-01-01,53690
1992-01-01,55140
1993-01-01,55590
1994-01-01,51420
1995-01-01,60200
1996-01-01,61740
1997-01-01,66880
1998-01-01,67410
1999-01-01,67880
2000-01-01,65660
2001-01-01,63450
2002-01-01,63710
2003-01-01,64500
2004-01-01,62790
2005-01-01,61170
2006-01-01,63610
2007-01-01,64810
2008-01-01,61290
2009-01-01,58610
2010-01-01,60210
2011-01-01,56250
2012-01-01,57310
2013-01-01,60670
2014-01-01,58130
2015-01-01,62930
2016-01-01,67310
2017-01-01,69290
2018-01-01,69230
2019-01-01,75960
2020-01-01,75310
2021-01-01,75690
2022-01-01,70030
