DATE,MEHOINUSLAA672N
1984-01-01,48000
1985-01-01,51890
1986-01-01,50350
1987-01-01,49770
1988-01-01,46080
1989-01-01,49240
1990-01-01,46020
1991-01-01,50140
1992-01-01,49170
1993-01-01,49630
1994-01-01,47390
1995-01-01,50390
1996-01-01,53160
1997-01-01,57200
1998-01-01,53840
1999-01-01,54280
2000-01-01,49360
2001-01-01,52360
2002-01-01,52780
2003-01-01,50940
2004-01-01,54030
2005-01-01,53680
2006-01-01,51110
2007-01-01,56430
2008-01-01,52130
2009-01-01,60100
2010-01-01,51280
2011-01-01,51460
2012-01-01,48530
2013-01-01,56950
2014-01-01,51290
2015-01-01,55590
2016-01-01,50630
2017-01-01,51370
2018-01-01,57760
2019-01-01,58890
2020-01-01,57700
2021-01-01,61690
2022-01-01,58330
