DATE,MEHOINUSMAA672N
1984-01-01,68290
1985-01-01,69110
1986-01-01,73130
1987-01-01,75170
1988-01-01,74670
1989-01-01,77720
1990-01-01,74450
1991-01-01,70780
1992-01-01,70270
1993-01-01,69910
1994-01-01,74750
1995-01-01,69550
1996-01-01,69380
1997-01-01,72270
1998-01-01,71850
1999-01-01,73150
2000-01-01,75130
2001-01-01,82110
2002-01-01,77380
2003-01-01,77470
2004-01-01,77160
2005-01-01,80750
2006-01-01,77510
2007-01-01,79850
2008-01-01,79470
2009-01-01,78540
2010-01-01,79520
2011-01-01,80130
2012-01-01,79040
2013-01-01,76710
2014-01-01,76390
2015-01-01,82150
2016-01-01,86710
2017-01-01,89900
2018-01-01,99800
2019-01-01,99900
2020-01-01,98980
2021-01-01,93340
2022-01-01,93550
