DATE,MEHOINUSMIA672N
1984-01-01,58180
1985-01-01,59390
1986-01-01,64130
1987-01-01,64590
1988-01-01,66260
1989-01-01,66280
1990-01-01,61490
1991-01-01,63650
1992-01-01,62370
1993-01-01,61600
1994-01-01,65120
1995-01-01,65680
1996-01-01,68910
1997-01-01,66630
1998-01-01,70960
1999-01-01,76610
2000-01-01,73130
2001-01-01,70790
2002-01-01,66300
2003-01-01,68450
2004-01-01,62680
2005-01-01,66210
2006-01-01,68150
2007-01-01,67430
2008-01-01,65600
2009-01-01,60840
2010-01-01,60390
2011-01-01,61860
2012-01-01,62100
2013-01-01,69400
2014-01-01,62910
2015-01-01,65610
2016-01-01,68500
2017-01-01,66510
2018-01-01,69870
2019-01-01,73030
2020-01-01,72590
2021-01-01,69540
2022-01-01,68990
