DATE,MEHOINUSMNA672N
1984-01-01,61900
1985-01-01,58450
1986-01-01,63740
1987-01-01,65470
1988-01-01,65400
1989-01-01,65010
1990-01-01,64630
1991-01-01,58420
1992-01-01,59880
1993-01-01,63530
1994-01-01,62100
1995-01-01,68400
1996-01-01,72010
1997-01-01,73200
1998-01-01,81320
1999-01-01,78190
2000-01-01,87170
2001-01-01,82780
2002-01-01,84780
2003-01-01,80310
2004-01-01,83220
2005-01-01,78150
2006-01-01,78740
2007-01-01,79300
2008-01-01,72370
2009-01-01,74200
2010-01-01,68280
2011-01-01,73180
2012-01-01,76730
2013-01-01,78910
2014-01-01,81340
2015-01-01,83200
2016-01-01,84250
2017-01-01,82510
2018-01-01,83010
2019-01-01,92740
2020-01-01,88770
2021-01-01,86740
2022-01-01,90390
