DATE,MEHOINUSMOA672N
1984-01-01,52630
1985-01-01,53750
1986-01-01,52850
1987-01-01,55300
1988-01-01,52710
1989-01-01,57070
1990-01-01,56140
1991-01-01,55350
1992-01-01,52880
1993-01-01,54100
1994-01-01,55720
1995-01-01,62790
1996-01-01,60190
1997-01-01,62870
1998-01-01,68210
1999-01-01,68790
2000-01-01,72470
2001-01-01,64960
2002-01-01,66390
2003-01-01,66540
2004-01-01,62500
2005-01-01,61970
2006-01-01,62450
2007-01-01,62840
2008-01-01,60660
2009-01-01,64510
2010-01-01,59790
2011-01-01,57930
2012-01-01,61790
2013-01-01,56800
2014-01-01,68500
2015-01-01,71660
2016-01-01,66010
2017-01-01,66660
2018-01-01,71350
2019-01-01,69020
2020-01-01,70090
2021-01-01,68570
2022-01-01,71520
