DATE,MEHOINUSMTA672N
1984-01-01,49490
1985-01-01,49580
1986-01-01,49000
1987-01-01,47730
1988-01-01,49980
1989-01-01,51030
1990-01-01,48010
1991-01-01,49200
1992-01-01,51270
1993-01-01,49920
1994-01-01,51000
1995-01-01,50050
1996-01-01,50390
1997-01-01,50240
1998-01-01,53580
1999-01-01,51590
2000-01-01,52670
2001-01-01,50480
2002-01-01,54070
2003-01-01,51860
2004-01-01,50370
2005-01-01,53790
2006-01-01,57580
2007-01-01,59630
2008-01-01,56520
2009-01-01,53490
2010-01-01,53870
2011-01-01,50980
2012-01-01,55980
2013-01-01,53000
2014-01-01,61810
2015-01-01,62210
2016-01-01,68480
2017-01-01,67690
2018-01-01,66670
2019-01-01,68560
2020-01-01,63960
2021-01-01,70090
2022-01-01,72980
