DATE,MEHOINUSNHA672N
1984-01-01,65650
1985-01-01,64690
1986-01-01,73630
1987-01-01,75390
1988-01-01,77850
1989-01-01,80830
1990-01-01,83810
1991-01-01,71410
1992-01-01,76220
1993-01-01,71600
1994-01-01,65050
1995-01-01,70630
1996-01-01,69230
1997-01-01,70510
1998-01-01,76280
1999-01-01,76560
2000-01-01,81830
2001-01-01,80660
2002-01-01,85860
2003-01-01,84490
2004-01-01,84270
2005-01-01,82140
2006-01-01,86810
2007-01-01,92300
2008-01-01,87190
2009-01-01,84840
2010-01-01,86950
2011-01-01,83380
2012-01-01,84210
2013-01-01,84770
2014-01-01,88780
2015-01-01,91600
2016-01-01,91500
2017-01-01,89180
2018-01-01,94020
2019-01-01,98980
2020-01-01,100200
2021-01-01,95800
2022-01-01,84970
