DATE,MEHOINUSNJA672N
1984-01-01,70360
1985-01-01,75900
1986-01-01,76440
1987-01-01,79830
1988-01-01,81580
1989-01-01,84260
1990-01-01,79560
1991-01-01,79370
1992-01-01,75380
1993-01-01,76390
1994-01-01,78040
1995-01-01,79200
1996-01-01,83390
1997-01-01,82590
1998-01-01,84540
1999-01-01,82670
2000-01-01,80990
2001-01-01,81350
2002-01-01,84690
2003-01-01,85210
2004-01-01,81990
2005-01-01,91350
2006-01-01,95340
2007-01-01,82640
2008-01-01,86040
2009-01-01,85690
2010-01-01,82170
2011-01-01,78900
2012-01-01,82810
2013-01-01,78210
2014-01-01,78920
2015-01-01,82750
2016-01-01,82150
2017-01-01,84000
2018-01-01,85740
2019-01-01,99920
2020-01-01,96430
2021-01-01,95490
2022-01-01,92340
