DATE,MEHOINUSNMA672N
1984-01-01,52260
1985-01-01,50040
1986-01-01,47830
1987-01-01,48400
1988-01-01,43380
1989-01-01,48680
1990-01-01,51430
1991-01-01,52600
1992-01-01,49980
1993-01-01,50470
1994-01-01,49660
1995-01-01,46860
1996-01-01,44070
1997-01-01,51740
1998-01-01,53520
1999-01-01,54150
2000-01-01,56390
2001-01-01,52050
2002-01-01,55030
2003-01-01,53370
2004-01-01,58680
2005-01-01,56140
2006-01-01,56070
2007-01-01,60580
2008-01-01,55470
2009-01-01,57600
2010-01-01,58900
2011-01-01,53130
2012-01-01,53920
2013-01-01,49280
2014-01-01,56470
2015-01-01,54620
2016-01-01,58130
2017-01-01,53770
2018-01-01,55810
2019-01-01,60500
2020-01-01,57380
2021-01-01,57650
2022-01-01,56420
