DATE,MEHOINUSOHA672N
1984-01-01,58580
1985-01-01,61670
1986-01-01,60540
1987-01-01,60090
1988-01-01,62370
1989-01-01,62500
1990-01-01,61640
1991-01-01,59040
1992-01-01,60700
1993-01-01,59010
1994-01-01,58800
1995-01-01,63000
1996-01-01,59850
1997-01-01,62140
1998-01-01,66040
1999-01-01,65640
2000-01-01,69030
2001-01-01,65660
2002-01-01,66250
2003-01-01,66170
2004-01-01,63860
2005-01-01,63720
2006-01-01,64300
2007-01-01,67060
2008-01-01,61840
2009-01-01,60690
2010-01-01,59880
2011-01-01,56510
2012-01-01,55100
2013-01-01,62260
2014-01-01,60050
2015-01-01,64520
2016-01-01,64770
2017-01-01,71560
2018-01-01,71240
2019-01-01,73650
2020-01-01,68060
2021-01-01,67600
2022-01-01,67520
