DATE,MEHOINUSORA672N
1984-01-01,54210
1985-01-01,53640
1986-01-01,59710
1987-01-01,58380
1988-01-01,62390
1989-01-01,61440
1990-01-01,60140
1991-01-01,59830
1992-01-01,61710
1993-01-01,62500
1994-01-01,58060
1995-01-01,65590
1996-01-01,62350
1997-01-01,64060
1998-01-01,66280
1999-01-01,67520
2000-01-01,68290
2001-01-01,64860
2002-01-01,64880
2003-01-01,63310
2004-01-01,60810
2005-01-01,63660
2006-01-01,65970
2007-01-01,68610
2008-01-01,68150
2009-01-01,64950
2010-01-01,66030
2011-01-01,65210
2012-01-01,64290
2013-01-01,60110
2014-01-01,71220
2015-01-01,73640
2016-01-01,70950
2017-01-01,73690
2018-01-01,79950
2019-01-01,84760
2020-01-01,86630
2021-01-01,88260
2022-01-01,86780
