DATE,MEHOINUSPAA672N
1984-01-01,51540
1985-01-01,56050
1986-01-01,57380
1987-01-01,59270
1988-01-01,60120
1989-01-01,61790
1990-01-01,59570
1991-01-01,60180
1992-01-01,57760
1993-01-01,58460
1994-01-01,59190
1995-01-01,62250
1996-01-01,61310
1997-01-01,64520
1998-01-01,66200
1999-01-01,62760
2000-01-01,67770
2001-01-01,68360
2002-01-01,65960
2003-01-01,65280
2004-01-01,65420
2005-01-01,66740
2006-01-01,67910
2007-01-01,66160
2008-01-01,67720
2009-01-01,63720
2010-01-01,63050
2011-01-01,63170
2012-01-01,64450
2013-01-01,67670
2014-01-01,66740
2015-01-01,73100
2016-01-01,73170
2017-01-01,72260
2018-01-01,74580
2019-01-01,80390
2020-01-01,79800
2021-01-01,78310
2022-01-01,72210
