DATE,MEHOINUSSDA672N
1984-01-01,49170
1985-01-01,44450
1986-01-01,47960
1987-01-01,49310
1988-01-01,50120
1989-01-01,51920
1990-01-01,50470
1991-01-01,48830
1992-01-01,50750
1993-01-01,52310
1994-01-01,54880
1995-01-01,53330
1996-01-01,51870
1997-01-01,51070
1998-01-01,55630
1999-01-01,59560
2000-01-01,58610
2001-01-01,62340
2002-01-01,58780
2003-01-01,60090
2004-01-01,60970
2005-01-01,62200
2006-01-01,63640
2007-01-01,63400
2008-01-01,67980
2009-01-01,60620
2010-01-01,59180
2011-01-01,59770
2012-01-01,61360
2013-01-01,65530
2014-01-01,64170
2015-01-01,66660
2016-01-01,68930
2017-01-01,67110
2018-01-01,68730
2019-01-01,73190
2020-01-01,79120
2021-01-01,79680
2022-01-01,67180
