DATE,MEHOINUSTNA672N
1984-01-01,42510
1985-01-01,43560
1986-01-01,44000
1987-01-01,49380
1988-01-01,46890
1989-01-01,48700
1990-01-01,46400
1991-01-01,48460
1992-01-01,47000
1993-01-01,47340
1994-01-01,52860
1995-01-01,52320
1996-01-01,54090
1997-01-01,52690
1998-01-01,57840
1999-01-01,60710
2000-01-01,54790
2001-01-01,56230
2002-01-01,57470
2003-01-01,57050
2004-01-01,56470
2005-01-01,56800
2006-01-01,57010
2007-01-01,56270
2008-01-01,52310
2009-01-01,53600
2010-01-01,50360
2011-01-01,53510
2012-01-01,53390
2013-01-01,53200
2014-01-01,52880
2015-01-01,57290
2016-01-01,61610
2017-01-01,65210
2018-01-01,64800
2019-01-01,64500
2020-01-01,61970
2021-01-01,67030
2022-01-01,65380
