DATE,MEHOINUSVAA672N
1984-01-01,67190
1985-01-01,69650
1986-01-01,71620
1987-01-01,69930
1988-01-01,73400
1989-01-01,73480
1990-01-01,72040
1991-01-01,71620
1992-01-01,73830
1993-01-01,68720
1994-01-01,69490
1995-01-01,65310
1996-01-01,68880
1997-01-01,73880
1998-01-01,73560
1999-01-01,75950
2000-01-01,75780
2001-01-01,78950
2002-01-01,77030
2003-01-01,83290
2004-01-01,75860
2005-01-01,74840
2006-01-01,80020
2007-01-01,80800
2008-01-01,81670
2009-01-01,80030
2010-01-01,78780
2011-01-01,79250
2012-01-01,80250
2013-01-01,80850
2014-01-01,80020
2015-01-01,74430
2016-01-01,79730
2017-01-01,83500
2018-01-01,89180
2019-01-01,92610
2020-01-01,92670
2021-01-01,86550
2022-01-01,85170
