DATE,MEHOINUSWAA672N
1984-01-01,63370
1985-01-01,58800
1986-01-01,64790
1987-01-01,63690
1988-01-01,72680
1989-01-01,68840
1990-01-01,65950
1991-01-01,67320
1992-01-01,65520
1993-01-01,67250
1994-01-01,61890
1995-01-01,64130
1996-01-01,64430
1997-01-01,76640
1998-01-01,80460
1999-01-01,75590
2000-01-01,68330
2001-01-01,66770
2002-01-01,70130
2003-01-01,72230
2004-01-01,74050
2005-01-01,73010
2006-01-01,76660
2007-01-01,79330
2008-01-01,74610
2009-01-01,79890
2010-01-01,73290
2011-01-01,71950
2012-01-01,77220
2013-01-01,78420
2014-01-01,71450
2015-01-01,81400
2016-01-01,84360
2017-01-01,84360
2018-01-01,92150
2019-01-01,93910
2020-01-01,91710
2021-01-01,94510
2022-01-01,89430
