DATE,MEHOINUSWIA672N
1984-01-01,52550
1985-01-01,56950
1986-01-01,63700
1987-01-01,61480
1988-01-01,66490
1989-01-01,62720
1990-01-01,63080
1991-01-01,61700
1992-01-01,64380
1993-01-01,59910
1994-01-01,65320
1995-01-01,73850
1996-01-01,70270
1997-01-01,68100
1998-01-01,70120
1999-01-01,75910
2000-01-01,72450
2001-01-01,71260
2002-01-01,71250
2003-01-01,70350
2004-01-01,67830
2005-01-01,64360
2006-01-01,72410
2007-01-01,70040
2008-01-01,67460
2009-01-01,67780
2010-01-01,65710
2011-01-01,65890
2012-01-01,65910
2013-01-01,63460
2014-01-01,70250
2015-01-01,67090
2016-01-01,71770
2017-01-01,74850
2018-01-01,72390
2019-01-01,76720
2020-01-01,75980
2021-01-01,75420
2022-01-01,73330
